"","ID","fishing.effort.df","Solution","Category","geometry"
"62",62,841.985438656577,"Outside","Escenario I: Ecológico ideal",c(-116.529103878003, 30.8769453566612)
"63",63,61.0407593934875,"Outside","Escenario I: Ecológico ideal",c(-116.529103878003, 30.7769453730044)
"64",64,261.04056129689,"Inside","Escenario I: Ecológico ideal",c(-116.429103878001, 31.3769452720878)
"65",65,1109.92938550697,"Inside","Escenario I: Ecológico ideal",c(-116.429103878001, 31.2769452893817)
"66",66,472.03645212211,"Inside","Escenario I: Ecológico ideal",c(-116.429103877999, 31.1769453064835)
"67",67,727.976910411345,"Inside","Escenario I: Ecológico ideal",c(-116.429103877999, 31.0769453234034)
"68",68,602.027784461173,"Inside","Escenario I: Ecológico ideal",c(-116.429103877999, 30.9769453401259)
"69",69,508.017988210179,"Inside","Escenario I: Ecológico ideal",c(-116.429103877998, 30.8769453566624)
"70",70,607.973416179106,"Outside","Escenario I: Ecológico ideal",c(-116.429103877999, 30.776945373004)
"71",71,162.036761687881,"Inside","Escenario I: Ecológico ideal",c(-116.329103877999, 31.2769452893805)
"72",72,740.958846134925,"Inside","Escenario I: Ecológico ideal",c(-116.329103878001, 31.1769453064847)
"73",73,180.05111405953,"Inside","Escenario I: Ecológico ideal",c(-116.329103878002, 31.0769453234034)
"74",74,5118.56109238524,"Inside","Escenario I: Ecológico ideal",c(-116.329103878002, 30.9769453401249)
"75",75,593.239137045208,"Inside","Escenario I: Ecológico ideal",c(-116.329103878001, 30.8769453566627)
"76",76,486.010479844335,"Inside","Escenario I: Ecológico ideal",c(-116.329103878001, 30.7769453730041)
"77",77,611.975837395051,"Outside","Escenario I: Ecológico ideal",c(-116.329103878002, 30.6769453891646)
"78",78,246.188964772121,"Inside","Escenario I: Ecológico ideal",c(-116.229103878001, 30.976945340125)
"79",79,132.023993343739,"Inside","Escenario I: Ecológico ideal",c(-116.229103878001, 30.876945356662)
"80",80,179.009380470894,"Inside","Escenario I: Ecológico ideal",c(-116.229103878001, 30.7769453730045)
"81",81,134.020961611458,"Inside","Escenario I: Ecológico ideal",c(-116.229103878001, 30.6769453891623)
"82",82,133.000055053314,"Outside","Escenario I: Ecológico ideal",c(-116.229103878, 30.5769454051373)
"83",83,130.996928630287,"Outside","Escenario I: Ecológico ideal",c(-116.229103878, 30.4769454209127)
"84",84,86.0001971413659,"Outside","Escenario I: Ecológico ideal",c(-116.229103878001, 30.3769454365172)
"85",85,41.001910351306,"Outside","Escenario I: Ecológico ideal",c(-116.229103878, 30.2769454519208)
"86",86,76.0021719164403,"Inside","Escenario I: Ecológico ideal",c(-116.129103877999, 30.876945356662)
"87",87,1983.82748904116,"Inside","Escenario I: Ecológico ideal",c(-116.129103878, 30.776945373005)
"88",88,171.096266959988,"Inside","Escenario I: Ecológico ideal",c(-116.129103878, 30.6769453891624)
"89",89,33.0113367994599,"Inside","Escenario I: Ecológico ideal",c(-116.129103878, 30.5769454051355)
"90",90,34.003707455773,"Inside","Escenario I: Ecológico ideal",c(-116.129103877999, 30.4769454209143)
"91",91,115.994378924404,"Inside","Escenario I: Ecológico ideal",c(-116.129103877999, 30.3769454365166)
"92",92,110.997558080211,"Outside","Escenario I: Ecológico ideal",c(-116.129103878001, 30.2769454519216)
"93",93,61.0015313108632,"Outside","Escenario I: Ecológico ideal",c(-116.129103878001, 30.1769454671478)
"94",94,510.057157729119,"Inside","Escenario I: Ecológico ideal",c(-116.029103877999, 30.7769453730053)
"95",95,720.967304096408,"Inside","Escenario I: Ecológico ideal",c(-116.029103878, 30.6769453891631)
"96",96,102.030780956338,"Inside","Escenario I: Ecológico ideal",c(-116.029103878001, 30.5769454051349)
"97",97,101.99736295781,"Inside","Escenario I: Ecológico ideal",c(-116.029103878, 30.4769454209137)
"98",98,75.0015898062592,"Inside","Escenario I: Ecológico ideal",c(-116.029103877998, 30.3769454365159)
"99",99,114.999844890722,"Inside","Escenario I: Ecológico ideal",c(-116.029103877996, 30.2769454519223)
"100",100,202.989682447424,"Inside","Escenario I: Ecológico ideal",c(-116.029103877997, 30.1769454671477)
"101",101,135.000082469065,"Outside","Escenario I: Ecológico ideal",c(-116.029103877998, 30.07694548219)
"102",102,97.0001110079979,"Outside","Escenario I: Ecológico ideal",c(-116.029103877999, 29.9769454970505)
"103",103,50.003249624503,"Inside","Escenario I: Ecológico ideal",c(-116.029103878, 29.8769455117231)
"104",104,45.0020989064332,"Inside","Escenario I: Ecológico ideal",c(-116.029103878, 29.7769455262145)
"105",105,NA,"Outside","Escenario I: Ecológico ideal",c(-115.929103877999, 30.4769454209133)
"106",106,61,"Inside","Escenario I: Ecológico ideal",c(-115.929103878, 30.3769454365155)
