"","ID","fishing.effort.df","Solution","Category","geometry"
"3928",692,15.0180892252478,"Inside","Escenario II: Ecológico con AMP",c(-112.829103878001, 28.7769456612315)
"3929",693,56.0003892725101,"Inside","Escenario II: Ecológico con AMP",c(-112.829103878002, 28.6769456737563)
"3930",694,16.0023909312665,"Inside","Escenario II: Ecológico con AMP",c(-112.829103878001, 28.5769456861088)
"3931",695,16.0001163399301,"Inside","Escenario II: Ecológico con AMP",c(-112.829103877998, 28.4769456982878)
"3932",696,NA,"Inside","Escenario II: Ecológico con AMP",c(-112.829103877999, 28.3769457102912)
"3933",697,115,"Outside","Escenario II: Ecológico con AMP",c(-112.829103878, 28.2769457221194)
"3934",698,563.965550243755,"Outside","Escenario II: Ecológico con AMP",c(-112.829103877999, 28.1769457337742)
"3935",699,1990.89034872487,"Inside","Escenario II: Ecológico con AMP",c(-112.829103878, 28.0769457452644)
"3936",700,NA,"Inside","Escenario II: Ecológico con AMP",c(-112.829103878001, 26.4769459061919)
"3937",701,774.972155971114,"Inside","Escenario II: Ecológico con AMP",c(-112.829103877998, 26.3769459148579)
"3938",702,27.0433356223892,"Outside","Escenario II: Ecológico con AMP",c(-112.829103878, 26.2769459233575)
"3939",703,12.0011611412878,"Outside","Escenario II: Ecológico con AMP",c(-112.829103878001, 26.1769459316988)
"3940",704,6119.72034337646,"Outside","Escenario II: Ecológico con AMP",c(-112.729103878001, 30.2769454519212)
"3941",705,205.998667359591,"Outside","Escenario II: Ecológico con AMP",c(-112.729103878, 30.1769454671472)
"3942",706,180.996717130331,"Outside","Escenario II: Ecológico con AMP",c(-112.729103877999, 30.0769454821921)
"3943",707,180.995811735308,"Outside","Escenario II: Ecológico con AMP",c(-112.729103877999, 29.976945497049)
"3944",708,62.999612242682,"Outside","Escenario II: Ecológico con AMP",c(-112.729103878001, 29.8769455117244)
"3945",709,104.001783672528,"Outside","Escenario II: Ecológico con AMP",c(-112.729103878001, 29.7769455262132)
"3946",710,132.998393346248,"Outside","Escenario II: Ecológico con AMP",c(-112.729103878001, 29.6769455405262)
"3947",711,65.0048629414176,"Outside","Escenario II: Ecológico con AMP",c(-112.729103878003, 29.5769455546485)
"3948",712,70.0042586379504,"Outside","Escenario II: Ecológico con AMP",c(-112.729103878, 29.4769455686011)
"3949",713,171.995429825137,"Outside","Escenario II: Ecológico con AMP",c(-112.729103878, 29.2769455959556)
"3950",714,190.993040044889,"Outside","Escenario II: Ecológico con AMP",c(-112.729103878, 29.1769456093684)
"3951",715,75.0036523240324,"Outside","Escenario II: Ecológico con AMP",c(-112.729103878001, 29.0769456225987)
"3952",716,3.00409628540715,"Outside","Escenario II: Ecológico con AMP",c(-112.729103877999, 28.9769456356518)
"3953",717,8.99942842334654,"Outside","Escenario II: Ecológico con AMP",c(-112.729103878, 28.8769456485328)
"3954",718,9.0002326537351,"Outside","Escenario II: Ecológico con AMP",c(-112.729103878001, 28.7769456612311)
"3955",719,6.00193891025083,"Outside","Escenario II: Ecológico con AMP",c(-112.729103878001, 28.6769456737547)
"3956",720,272.974852297828,"Inside","Escenario II: Ecológico con AMP",c(-112.729103878002, 28.5769456861103)
"3957",721,272.990033537039,"Outside","Escenario II: Ecológico con AMP",c(-112.729103878001, 28.4769456982871)
"3958",722,23,"Outside","Escenario II: Ecológico con AMP",c(-112.729103878001, 28.3769457102939)
"3959",723,302.976688048696,"Outside","Escenario II: Ecológico con AMP",c(-112.729103878001, 28.2769457221178)
"3960",724,497.991378056045,"Outside","Escenario II: Ecológico con AMP",c(-112.729103878, 28.1769457337738)
"3961",725,2476.86745537622,"Inside","Escenario II: Ecológico con AMP",c(-112.729103877999, 28.0769457452642)
"3962",726,3938.81222363479,"Inside","Escenario II: Ecológico con AMP",c(-112.729103877999, 27.9769457565744)
"3963",727,1691.11321067144,"Inside","Escenario II: Ecológico con AMP",c(-112.729103877999, 27.8769457677232)
"3964",728,364.10241085955,"Inside","Escenario II: Ecológico con AMP",c(-112.729103877999, 27.7769457786969)
"3965",729,789.999418299874,"Outside","Escenario II: Ecológico con AMP",c(-112.729103878001, 26.3769459148571)
"3966",730,291.019320209521,"Outside","Escenario II: Ecológico con AMP",c(-112.729103877999, 26.2769459233578)
"3967",731,50.0128212369408,"Outside","Escenario II: Ecológico con AMP",c(-112.729103877998, 26.1769459316997)
"3968",732,NA,"Outside","Escenario II: Ecológico con AMP",c(-112.629103877999, 29.8769455117236)
"3969",733,226.995230060803,"Outside","Escenario II: Ecológico con AMP",c(-112.629103877999, 29.7769455262148)
"3970",734,694.952276926982,"Outside","Escenario II: Ecológico con AMP",c(-112.629103877999, 29.6769455405256)
"3971",735,190.023202537319,"Outside","Escenario II: Ecológico con AMP",c(-112.629103877998, 29.5769455546486)
"3972",736,53.008287934534,"Outside","Escenario II: Ecológico con AMP",c(-112.629103877998, 29.4769455685996)
"3973",737,78.9983159538971,"Outside","Escenario II: Ecológico con AMP",c(-112.629103877998, 29.3769455823693)
"3974",738,144.997353657076,"Outside","Escenario II: Ecológico con AMP",c(-112.629103877998, 29.2769455959558)
"3975",739,101.005958186876,"Outside","Escenario II: Ecológico con AMP",c(-112.629103878002, 29.1769456093683)
"3976",740,245.985216422173,"Outside","Escenario II: Ecológico con AMP",c(-112.629103878, 29.0769456225977)
"3977",741,48.0094132153006,"Outside","Escenario II: Ecológico con AMP",c(-112.629103878, 28.9769456356519)
"3978",742,42.9989638825409,"Outside","Escenario II: Ecológico con AMP",c(-112.629103878, 28.8769456485336)
"3979",743,29.9999215515525,"Outside","Escenario II: Ecológico con AMP",c(-112.629103877999, 28.7769456612305)
"3980",744,62.9959172732952,"Outside","Escenario II: Ecológico con AMP",c(-112.629103878, 28.6769456737555)
"3981",745,6.01359462608367,"Outside","Escenario II: Ecológico con AMP",c(-112.629103877999, 28.5769456861096)
"3982",746,19.0091093700578,"Outside","Escenario II: Ecológico con AMP",c(-112.629103877999, 28.4769456982875)
"3983",747,11.0009221656611,"Outside","Escenario II: Ecológico con AMP",c(-112.629103877999, 28.3769457102935)
"3984",748,142.998651273601,"Outside","Escenario II: Ecológico con AMP",c(-112.629103877998, 28.2769457221176)
"3985",749,267.0018481428,"Outside","Escenario II: Ecológico con AMP",c(-112.629103878, 28.1769457337739)
"3986",750,305.082042629865,"Inside","Escenario II: Ecológico con AMP",c(-112.629103878, 28.0769457452632)
"3987",751,414.130421793663,"Inside","Escenario II: Ecológico con AMP",c(-112.629103877999, 27.9769457565751)
"3988",752,277.062741412933,"Inside","Escenario II: Ecológico con AMP",c(-112.629103877999, 27.8769457677227)
"3989",753,291.002024927399,"Inside","Escenario II: Ecológico con AMP",c(-112.629103878, 27.7769457786979)
"3990",754,115.019845346546,"Inside","Escenario II: Ecológico con AMP",c(-112.629103877999, 27.6769457895021)
"3991",755,NA,"Outside","Escenario II: Ecológico con AMP",c(-112.629103878, 26.3769459148565)
"3992",756,521.9910429666,"Outside","Escenario II: Ecológico con AMP",c(-112.629103878, 26.2769459233574)
"3993",757,36.0293704223361,"Outside","Escenario II: Ecológico con AMP",c(-112.629103878001, 26.1769459317008)
"3994",758,29.9996584263722,"Outside","Escenario II: Ecológico con AMP",c(-112.629103878001, 26.0769459398796)
"3995",759,247.017372434962,"Outside","Escenario II: Ecológico con AMP",c(-112.529103878, 29.6769455405237)
"3996",760,44.0169384681742,"Outside","Escenario II: Ecológico con AMP",c(-112.529103878, 29.5769455546491)
"3997",761,55.9992157497546,"Outside","Escenario II: Ecológico con AMP",c(-112.529103878, 29.4769455686)
"3998",762,47.0017432975318,"Outside","Escenario II: Ecológico con AMP",c(-112.529103878, 29.3769455823687)
"3999",763,72.0014318616736,"Outside","Escenario II: Ecológico con AMP",c(-112.529103877999, 29.2769455959557)
"4000",764,480.962322281154,"Outside","Escenario II: Ecológico con AMP",c(-112.529103877998, 29.176945609367)
"4001",765,243.013497288085,"Outside","Escenario II: Ecológico con AMP",c(-112.529103877999, 29.076945622598)
"4002",766,236.993009138464,"Outside","Escenario II: Ecológico con AMP",c(-112.529103878, 28.9769456356524)
"4003",767,346.981997748634,"Outside","Escenario II: Ecológico con AMP",c(-112.529103877999, 28.8769456485329)
"4004",768,23.0186131648384,"Outside","Escenario II: Ecológico con AMP",c(-112.529103877999, 28.7769456612308)
"4005",769,42.9996408201041,"Outside","Escenario II: Ecológico con AMP",c(-112.529103877999, 28.6769456737557)
"4006",770,11.0016257097946,"Outside","Escenario II: Ecológico con AMP",c(-112.529103877998, 28.5769456861081)
"4007",771,27.0064436311853,"Outside","Escenario II: Ecológico con AMP",c(-112.529103878, 28.2769457221171)
"4008",772,44.0076729571161,"Outside","Escenario II: Ecológico con AMP",c(-112.529103877999, 28.1769457337749)
"4009",773,30.011468723373,"Outside","Escenario II: Ecológico con AMP",c(-112.529103878001, 28.0769457452637)
"4010",774,46.0133497818479,"Outside","Escenario II: Ecológico con AMP",c(-112.529103878, 27.9769457565741)
"4011",775,48.0087655758572,"Inside","Escenario II: Ecológico con AMP",c(-112.529103878, 27.8769457677232)
"4012",776,173.997256351637,"Inside","Escenario II: Ecológico con AMP",c(-112.529103878, 27.7769457786982)
"4013",777,212.993942137673,"Inside","Escenario II: Ecológico con AMP",c(-112.529103878, 27.6769457895007)
"4014",778,212.99619956011,"Inside","Escenario II: Ecológico con AMP",c(-112.529103878, 27.5769458001407)
"4015",779,NA,"Outside","Escenario II: Ecológico con AMP",c(-112.529103877999, 26.2769459233581)
"4016",780,278.990577580298,"Outside","Escenario II: Ecológico con AMP",c(-112.529103877999, 26.1769459317015)
"4017",781,59.9988366139655,"Outside","Escenario II: Ecológico con AMP",c(-112.529103878, 26.0769459398786)
"4018",782,36.0001865431802,"Outside","Escenario II: Ecológico con AMP",c(-112.529103877999, 25.9769459479088)
"4019",783,15.0008628615847,"Outside","Escenario II: Ecológico con AMP",c(-112.529103877999, 25.8769459557731)
"4020",784,176.027582435386,"Outside","Escenario II: Ecológico con AMP",c(-112.529103877998, 24.9769460195468)
"4021",785,126.009568345937,"Outside","Escenario II: Ecológico con AMP",c(-112.529103878001, 24.8769460258611)
"4022",786,9.00736809277469,"Outside","Escenario II: Ecológico con AMP",c(-112.529103877999, 24.776946032031)
"4023",787,14.0004736692572,"Outside","Escenario II: Ecológico con AMP",c(-112.529103877997, 24.6769460380423)
"4024",788,36.0003106774277,"Outside","Escenario II: Ecológico con AMP",c(-112.429103878002, 29.5769455546474)
"4025",789,192.985944746639,"Outside","Escenario II: Ecológico con AMP",c(-112.429103878001, 29.476945568602)
"4026",790,265.987432228137,"Outside","Escenario II: Ecológico con AMP",c(-112.429103878001, 29.376945582367)
"4027",791,2214.80783341909,"Outside","Escenario II: Ecológico con AMP",c(-112.429103878001, 29.2769455959568)
"4028",792,655.080754144005,"Outside","Escenario II: Ecológico con AMP",c(-112.429103878003, 29.1769456093687)
"4029",793,59.9985658511542,"Outside","Escenario II: Ecológico con AMP",c(-112.429103878, 28.7769456612289)
"4030",794,35.0017285803008,"Outside","Escenario II: Ecológico con AMP",c(-112.429103878, 28.6769456737573)
"4031",795,46.997921683052,"Outside","Escenario II: Ecológico con AMP",c(-112.429103878003, 28.5769456861086)
"4032",796,17.0017212508865,"Outside","Escenario II: Ecológico con AMP",c(-112.429103878001, 27.8769457677233)
"4033",797,39.0039637562757,"Outside","Escenario II: Ecológico con AMP",c(-112.429103878002, 27.7769457786961)
"4034",798,128.998047084685,"Outside","Escenario II: Ecológico con AMP",c(-112.429103878004, 27.6769457895032)
"4035",799,62.0097417275153,"Inside","Escenario II: Ecológico con AMP",c(-112.429103878003, 27.5769458001405)
"4036",800,NA,"Outside","Escenario II: Ecológico con AMP",c(-112.429103878002, 26.2769459233576)
"4037",801,NA,"Outside","Escenario II: Ecológico con AMP",c(-112.429103878001, 26.1769459317013)
"4038",802,482.983596052181,"Outside","Escenario II: Ecológico con AMP",c(-112.429103878002, 26.0769459398796)
"4039",803,70.0232454388289,"Outside","Escenario II: Ecológico con AMP",c(-112.429103878001, 25.9769459479071)
"4040",804,31.0017022304975,"Outside","Escenario II: Ecológico con AMP",c(-112.429103878, 25.8769459557746)
"4041",805,113.991948063353,"Outside","Escenario II: Ecológico con AMP",c(-112.429103878001, 25.7769459634747)
"4042",806,57.0031143224124,"Outside","Escenario II: Ecológico con AMP",c(-112.429103878001, 25.1769460064509)
"4043",807,62.0006300642939,"Outside","Escenario II: Ecológico con AMP",c(-112.429103878002, 25.0769460130751)
"4044",808,116.998977186724,"Outside","Escenario II: Ecológico con AMP",c(-112.429103878, 24.9769460195481)
"4045",809,36.0083710748792,"Outside","Escenario II: Ecológico con AMP",c(-112.429103877999, 24.8769460258615)
"4046",810,11.0014306625953,"Outside","Escenario II: Ecológico con AMP",c(-112.429103878001, 24.7769460320296)
"4047",811,10.0002154864465,"Outside","Escenario II: Ecológico con AMP",c(-112.429103878002, 24.6769460380422)
"4048",812,5.00057364864298,"Outside","Escenario II: Ecológico con AMP",c(-112.429103878001, 24.5769460439119)
"4049",813,114.503043889453,"Outside","Escenario II: Ecológico con AMP",c(-112.329103877998, 29.4769455686026)
"4050",814,229.501415311619,"Outside","Escenario II: Ecológico con AMP",c(-112.329103877999, 29.3769455823668)
"4051",815,823.053977524335,"Outside","Escenario II: Ecológico con AMP",c(-112.329103878, 29.2769455959576)
"4052",816,21.06957528431,"Outside","Escenario II: Ecológico con AMP",c(-112.329103877998, 29.1769456093679)
"4053",817,245.992786927452,"Outside","Escenario II: Ecológico con AMP",c(-112.329103877996, 28.7769456612283)
"4054",818,245.991817479412,"Outside","Escenario II: Ecológico con AMP",c(-112.329103877998, 28.6769456737589)
"4055",819,85.0076806151141,"Outside","Escenario II: Ecológico con AMP",c(-112.329103877998, 28.5769456861093)
"4056",820,17.0002174780169,"Outside","Escenario II: Ecológico con AMP",c(-112.329103877998, 27.7769457786983)
"4057",821,59.0002828997488,"Outside","Escenario II: Ecológico con AMP",c(-112.329103877998, 27.6769457895029)
"4058",822,60.0000197115065,"Inside","Escenario II: Ecológico con AMP",c(-112.329103877998, 27.5769458001396)
"4059",823,60.0000775599324,"Inside","Escenario II: Ecológico con AMP",c(-112.329103877997, 27.4769458106102)
"4060",824,NA,"Inside","Escenario II: Ecológico con AMP",c(-112.329103877996, 27.3769458209061)
"4061",825,NA,"Outside","Escenario II: Ecológico con AMP",c(-112.329103877999, 26.2769459233587)
"4062",826,NA,"Outside","Escenario II: Ecológico con AMP",c(-112.329103877999, 26.1769459316998)
"4063",827,418.002520698227,"Outside","Escenario II: Ecológico con AMP",c(-112.329103877997, 26.07694593988)
"4064",828,367.991418354763,"Outside","Escenario II: Ecológico con AMP",c(-112.329103877999, 25.9769459479074)
"4065",829,449.97886773151,"Outside","Escenario II: Ecológico con AMP",c(-112.329103877999, 25.8769459557728)
"4066",830,372.994547495767,"Outside","Escenario II: Ecológico con AMP",c(-112.329103877996, 25.7769459634751)
"4067",831,57.0170840826069,"Outside","Escenario II: Ecológico con AMP",c(-112.329103877997, 25.6769459710299)
"4068",832,63.9981466304822,"Outside","Escenario II: Ecológico con AMP",c(-112.329103877998, 25.5769459784221)
"4069",833,80.996423026629,"Outside","Escenario II: Ecológico con AMP",c(-112.329103877996, 25.4769459856649)
"4070",834,88.9984346530226,"Outside","Escenario II: Ecológico con AMP",c(-112.329103877997, 25.3769459927437)
"4071",835,175.99160044756,"Outside","Escenario II: Ecológico con AMP",c(-112.329103877998, 25.2769459996774)
"4072",836,90.003885695381,"Outside","Escenario II: Ecológico con AMP",c(-112.329103877998, 25.1769460064523)
"4073",837,60.0018814008692,"Outside","Escenario II: Ecológico con AMP",c(-112.329103877999, 25.076946013075)
"4074",838,138.994391453488,"Outside","Escenario II: Ecológico con AMP",c(-112.329103878, 24.9769460195475)
"4075",839,160.993827053863,"Outside","Escenario II: Ecológico con AMP",c(-112.329103877998, 24.8769460258601)
"4076",840,208.989426363266,"Outside","Escenario II: Ecológico con AMP",c(-112.329103877996, 24.7769460320308)
"4077",841,37.0093379731068,"Outside","Escenario II: Ecológico con AMP",c(-112.329103877997, 24.6769460380422)
"4078",842,16.0008426043017,"Outside","Escenario II: Ecológico con AMP",c(-112.329103877998, 24.5769460439123)
"4079",843,8.0004063894145,"Outside","Escenario II: Ecológico con AMP",c(-112.329103877998, 24.4769460496312)
"4080",844,NA,"Outside","Escenario II: Ecológico con AMP",c(-112.229103878, 29.3769455823688)
"4081",845,NA,"Outside","Escenario II: Ecológico con AMP",c(-112.229103878, 29.2769455959566)
"4082",846,421.984450966761,"Outside","Escenario II: Ecológico con AMP",c(-112.229103877999, 29.1769456093662)
"4083",847,NA,"Outside","Escenario II: Ecológico con AMP",c(-112.229103877999, 29.0769456225991)
"4084",848,NA,"Outside","Escenario II: Ecológico con AMP",c(-112.229103877999, 28.9769456356531)
"4085",849,528,"Outside","Escenario II: Ecológico con AMP",c(-112.229103878001, 28.8769456485323)
"4086",850,7278.345085357,"Outside","Escenario II: Ecológico con AMP",c(-112.229103878002, 28.7769456612294)
"4087",851,1111.31639897269,"Outside","Escenario II: Ecológico con AMP",c(-112.229103878001, 28.6769456737557)
"4088",852,80.0588157690172,"Outside","Escenario II: Ecológico con AMP",c(-112.229103878001, 28.5769456861093)
"4089",853,14.9997308270823,"Outside","Escenario II: Ecológico con AMP",c(-112.229103878002, 27.7769457786958)
"4090",854,64.9968725857397,"Outside","Escenario II: Ecológico con AMP",c(-112.229103878001, 27.6769457895043)
"4091",855,120.994386466154,"Outside","Escenario II: Ecológico con AMP",c(-112.229103878, 27.576945800139)
"4092",856,4.00896983046585,"Outside","Escenario II: Ecológico con AMP",c(-112.229103878, 27.4769458106104)
"4093",857,NA,"Outside","Escenario II: Ecológico con AMP",c(-112.229103878001, 27.3769458209063)
"4094",858,NA,"Outside","Escenario II: Ecológico con AMP",c(-112.229103878, 27.2769458310448)
"4095",859,NA,"Outside","Escenario II: Ecológico con AMP",c(-112.229103878, 27.1769458410121)
"4096",860,NA,"Outside","Escenario II: Ecológico con AMP",c(-112.229103877999, 26.0769459398795)
"4097",861,392.999030615564,"Outside","Escenario II: Ecológico con AMP",c(-112.229103877999, 25.9769459479098)
"4098",862,30.0162874162836,"Outside","Escenario II: Ecológico con AMP",c(-112.229103878001, 25.8769459557722)
"4099",863,78.0085779282186,"Outside","Escenario II: Ecológico con AMP",c(-112.229103878002, 25.7769459634745)
"4100",864,1539.85519693313,"Outside","Escenario II: Ecológico con AMP",c(-112.229103878, 25.6769459710291)
"4101",865,2836.81492593281,"Outside","Escenario II: Ecológico con AMP",c(-112.229103877999, 25.5769459784232)
"4102",866,3126.86451829064,"Outside","Escenario II: Ecológico con AMP",c(-112.229103878001, 25.4769459856647)
"4103",867,2480.94594984365,"Outside","Escenario II: Ecológico con AMP",c(-112.229103878, 25.3769459927434)
"4104",868,228.133150743028,"Outside","Escenario II: Ecológico con AMP",c(-112.229103877999, 25.2769459996781)
"4105",869,12.0159984745899,"Inside","Escenario II: Ecológico con AMP",c(-112.229103878001, 25.1769460064523)
"4106",870,269.976343139843,"Inside","Escenario II: Ecológico con AMP",c(-112.229103878001, 25.0769460130736)
"4107",871,136.008182035068,"Inside","Escenario II: Ecológico con AMP",c(-112.229103878001, 24.9769460195465)
"4108",872,74.0071097000589,"Inside","Escenario II: Ecológico con AMP",c(-112.229103878002, 24.8769460258626)
"4109",873,9.01167656050444,"Inside","Escenario II: Ecológico con AMP",c(-112.229103878002, 24.776946032031)
"4110",874,100.991963698802,"Outside","Escenario II: Ecológico con AMP",c(-112.229103878002, 24.6769460380417)
"4111",875,106.996108447917,"Outside","Escenario II: Ecológico con AMP",c(-112.229103878001, 24.5769460439124)
"4112",876,3.00648529055635,"Outside","Escenario II: Ecológico con AMP",c(-112.229103878, 24.4769460496306)
"4113",877,3.00019389999721,"Outside","Escenario II: Ecológico con AMP",c(-112.229103878, 24.3769460551932)
"4114",878,NA,"Outside","Escenario II: Ecológico con AMP",c(-112.129103878001, 29.0769456225997)
"4115",879,NA,"Outside","Escenario II: Ecológico con AMP",c(-112.129103878002, 28.9769456356526)
"4116",880,682.99398910013,"Outside","Escenario II: Ecológico con AMP",c(-112.129103878, 28.876945648533)
"4117",881,2697.06366236787,"Outside","Escenario II: Ecológico con AMP",c(-112.129103877999, 28.7769456612289)
"4118",882,1882.01635351194,"Outside","Escenario II: Ecológico con AMP",c(-112.129103878, 28.6769456737567)
"4119",883,271.084194956781,"Outside","Escenario II: Ecológico con AMP",c(-112.129103878001, 28.5769456861091)
"4120",884,19.0013785186292,"Outside","Escenario II: Ecológico con AMP",c(-112.129103878001, 27.6769457895034)
"4121",885,21.0037618780971,"Outside","Escenario II: Ecológico con AMP",c(-112.129103878002, 27.57694580014)
"4122",886,84.9931404374027,"Outside","Escenario II: Ecológico con AMP",c(-112.129103878001, 27.4769458106086)
"4123",887,44.0008352798767,"Outside","Escenario II: Ecológico con AMP",c(-112.129103878, 27.376945820908)
"4124",888,NA,"Outside","Escenario II: Ecológico con AMP",c(-112.129103878001, 27.2769458310432)
"4125",889,NA,"Outside","Escenario II: Ecológico con AMP",c(-112.129103877999, 27.1769458410126)
"4126",890,NA,"Outside","Escenario II: Ecológico con AMP",c(-112.129103877999, 25.8769459557739)
"4127",891,54.0009306088539,"Outside","Escenario II: Ecológico con AMP",c(-112.129103877999, 25.7769459634742)
"4128",892,725.031602322297,"Outside","Escenario II: Ecológico con AMP",c(-112.129103878001, 25.6769459710286)
"4129",893,4829.67730365801,"Outside","Escenario II: Ecológico con AMP",c(-112.129103878002, 25.5769459784234)
"4130",894,3405.0745109107,"Outside","Escenario II: Ecológico con AMP",c(-112.129103878, 25.4769459856655)
"4131",895,2091.09386728454,"Outside","Escenario II: Ecológico con AMP",c(-112.129103878001, 25.3769459927422)
"4132",896,2090.92775807683,"Inside","Escenario II: Ecológico con AMP",c(-112.129103878001, 25.2769459996786)
"4133",897,119.995812263159,"Inside","Escenario II: Ecológico con AMP",c(-112.129103878, 25.176946006452)
"4134",898,9.01012097882549,"Inside","Escenario II: Ecológico con AMP",c(-112.129103878, 25.0769460130742)
"4135",899,4.0054202400648,"Inside","Escenario II: Ecológico con AMP",c(-112.129103878001, 24.9769460195467)
"4136",900,4.00271474549106,"Inside","Escenario II: Ecológico con AMP",c(-112.129103878001, 24.8769460258629)
"4137",901,41.4987398019798,"Inside","Escenario II: Ecológico con AMP",c(-112.129103878, 24.7769460320306)
"4138",902,1619.94109294988,"Inside","Escenario II: Ecológico con AMP",c(-112.129103878001, 24.6769460380421)
"4139",903,207.081519134669,"Outside","Escenario II: Ecológico con AMP",c(-112.129103878, 24.5769460439109)
"4140",904,141.998541931575,"Outside","Escenario II: Ecológico con AMP",c(-112.129103878, 24.4769460496312)
"4141",905,3.00841639194046,"Outside","Escenario II: Ecológico con AMP",c(-112.129103878001, 24.376946055193)
"4142",906,3.00042658003139,"Inside","Escenario II: Ecológico con AMP",c(-112.129103878, 24.2769460606162)
"4143",907,NA,"Outside","Escenario II: Ecológico con AMP",c(-112.029103877999, 28.9769456356523)
"4144",908,NA,"Outside","Escenario II: Ecológico con AMP",c(-112.029103877998, 28.8769456485317)
"4145",909,228.095743364409,"Outside","Escenario II: Ecológico con AMP",c(-112.029103877999, 28.7769456612299)
"4146",910,2019.89298036494,"Outside","Escenario II: Ecológico con AMP",c(-112.029103877999, 28.6769456737574)
"4147",911,1286.00237628187,"Outside","Escenario II: Ecológico con AMP",c(-112.029103877999, 28.576945686109)
"4148",912,1931.89431746522,"Outside","Escenario II: Ecológico con AMP",c(-112.029103878, 28.4769456982877)
"4149",913,50.9996704258268,"Outside","Escenario II: Ecológico con AMP",c(-112.029103877999, 27.3769458209075)
"4150",914,50.9997285401044,"Outside","Escenario II: Ecológico con AMP",c(-112.029103877999, 27.2769458310445)
"4151",915,NA,"Outside","Escenario II: Ecológico con AMP",c(-112.029103877998, 27.1769458410133)
"4152",916,NA,"Outside","Escenario II: Ecológico con AMP",c(-112.029103877996, 27.0769458508164)
"4153",917,NA,"Outside","Escenario II: Ecológico con AMP",c(-112.029103877998, 26.976945860459)
"4154",918,2777.57958638415,"Outside","Escenario II: Ecológico con AMP",c(-112.029103877998, 25.5769459784231)
"4155",919,4117.47237257861,"Outside","Escenario II: Ecológico con AMP",c(-112.029103877997, 25.4769459856644)
"4156",920,2747.9745246136,"Outside","Escenario II: Ecológico con AMP",c(-112.029103877997, 25.3769459927438)
"4157",921,NA,"Outside","Escenario II: Ecológico con AMP",c(-112.029103877998, 25.2769459996777)
"4158",922,NA,"Inside","Escenario II: Ecológico con AMP",c(-112.029103877998, 24.7769460320295)
"4159",923,942.026292823821,"Outside","Escenario II: Ecológico con AMP",c(-112.029103877998, 24.6769460380437)
"4160",924,2343.83239814424,"Outside","Escenario II: Ecológico con AMP",c(-112.029103877999, 24.5769460439099)
"4161",925,80.1393628671231,"Outside","Escenario II: Ecológico con AMP",c(-112.029103877999, 24.4769460496319)
"4162",926,8.00416599656234,"Inside","Escenario II: Ecológico con AMP",c(-112.029103878, 24.3769460551934)
"4163",927,2.00040240285381,"Inside","Escenario II: Ecológico con AMP",c(-112.029103878, 24.2769460606159)
"4164",928,NA,"Outside","Escenario II: Ecológico con AMP",c(-111.929103878001, 28.8769456485328)
"4165",929,NA,"Outside","Escenario II: Ecológico con AMP",c(-111.929103878, 28.7769456612312)
"4166",930,2804.96955376579,"Outside","Escenario II: Ecológico con AMP",c(-111.929103877999, 28.6769456737554)
"4167",931,4163.81112162746,"Outside","Escenario II: Ecológico con AMP",c(-111.929103877997, 28.5769456861096)
"4168",932,3586.96869552349,"Outside","Escenario II: Ecológico con AMP",c(-111.929103877999, 28.4769456982861)
"4169",933,1700.05551589212,"Outside","Escenario II: Ecológico con AMP",c(-111.929103877999, 28.3769457102922)
"4170",934,134.999769233279,"Outside","Escenario II: Ecológico con AMP",c(-111.929103877998, 27.3769458209067)
"4171",935,35.0064513000581,"Outside","Escenario II: Ecológico con AMP",c(-111.929103878, 27.2769458310462)
"4172",936,8.00210054229546,"Outside","Escenario II: Ecológico con AMP",c(-111.929103878001, 27.1769458410121)
"4173",937,NA,"Outside","Escenario II: Ecológico con AMP",c(-111.929103878002, 27.0769458508159)
"4174",938,NA,"Outside","Escenario II: Ecológico con AMP",c(-111.929103878, 26.9769458604594)
"4175",939,NA,"Outside","Escenario II: Ecológico con AMP",c(-111.929103877999, 26.8769458699245)
"4176",940,NA,"Outside","Escenario II: Ecológico con AMP",c(-111.929103877998, 26.7769458792372)
"4177",941,NA,"Outside","Escenario II: Ecológico con AMP",c(-111.929103878, 26.6769458883883)
"4178",942,1,"Outside","Escenario II: Ecológico con AMP",c(-111.929103878, 24.7769460320323)
"4179",943,1519.88587085217,"Outside","Escenario II: Ecológico con AMP",c(-111.929103877999, 24.6769460380428)
"4180",944,153.167580696143,"Outside","Escenario II: Ecológico con AMP",c(-111.929103877998, 24.5769460439107)
"4181",945,152.997174372796,"Inside","Escenario II: Ecológico con AMP",c(-111.929103877998, 24.4769460496315)
"4182",946,8.00000016907066,"Inside","Escenario II: Ecológico con AMP",c(-111.929103877999, 24.3769460551944)
"4183",947,6.99986671800627,"Inside","Escenario II: Ecológico con AMP",c(-111.929103877998, 24.2769460606144)
"4184",948,12.9992870367081,"Outside","Escenario II: Ecológico con AMP",c(-111.929103877998, 24.1769460658814)
"4185",949,305.096949964856,"Outside","Escenario II: Ecológico con AMP",c(-111.829103877999, 28.6769456737552)
"4186",950,1953.99194048911,"Outside","Escenario II: Ecológico con AMP",c(-111.829103878, 28.5769456861092)
"4187",951,2088.05049706926,"Outside","Escenario II: Ecológico con AMP",c(-111.829103877999, 28.4769456982875)
"4188",952,3453.85398447429,"Outside","Escenario II: Ecológico con AMP",c(-111.829103878001, 28.3769457102925)
